Arquitectura,Parámetros entrenables,Accuracy_test,Precision_test,Recall_test,F1_test,Tiempo_entrenamiento_s
MLP,243658,0.9814,0.9812340724005797,0.9813035603401753,0.9812525646171512,87.54159450531006
CNN,80298,0.9916,0.9916169892929606,0.9915124570310754,0.9915527242801006,106.02720785140991
