Iteración,Arquitectura,Config,Parámetros,Accuracy_val,Precision_val,Recall_val,F1_val,Tiempo_s
5,MLP,"[256, 128, 64] | leaky_relu | adam/0.001 | drop=0.3 | wd=0.0 | bn=True",243658,0.979,0.978666489606514,0.9789578354572921,0.9787289650351807,87.54159450531006
2,MLP,"[256, 128] | tanh | rmsprop/0.001 | drop=0.0 | wd=0.0 | bn=True",235914,0.9747777777777777,0.9747333830505397,0.9744164790721364,0.9745519387136067,74.88081693649292
8,MLP,"[512, 256, 128] | tanh | adam/0.001 | drop=0.2 | wd=0.0001 | bn=True",569226,0.9711111111111111,0.9708409112741594,0.970851897270826,0.9708181143588988,91.67752146720886
1,MLP,"[256, 128] | relu | sgd/0.001 | drop=0.2 | wd=0.0 | bn=True",235914,0.9652222222222222,0.9649530514139973,0.9649398243465468,0.9648864567350094,108.32990074157715
7,MLP,"[256, 128] | leaky_relu | adam/0.01 | drop=0.3 | wd=1e-05 | bn=False",235146,0.9533333333333334,0.9530386354041307,0.9531793730236882,0.9525962844234377,80.46775317192078
4,MLP,"[512, 256, 128] | leaky_relu | sgd/0.001 | drop=0.2 | wd=1e-05 | bn=False",567434,0.941,0.9405177282982402,0.9401022166896433,0.9402767802055922,90.04182982444763
6,MLP,"[128, 64] | relu | sgd/0.0005 | drop=0.3 | wd=0.0 | bn=False",109386,0.9102222222222223,0.9087792037174391,0.9087671281724518,0.9086056467763328,73.2657721042633
3,MLP,"[512, 256, 128] | tanh | adam/0.01 | drop=0.2 | wd=1e-05 | bn=False",567434,0.8901111111111111,0.8928213023212992,0.8872445701033366,0.8880471965269402,87.83935928344727
